K,phi,p_raw,p_bonferroni,bonferroni_verified
1,-0.000480,9.559490e-01,1.000000e+00,False
2,-0.000431,9.645973e-01,1.000000e+00,False
4,-0.000103,9.918927e-01,1.000000e+00,False
6,-0.000104,9.918571e-01,1.000000e+00,False
8,0.000131,9.897536e-01,1.000000e+00,False
10,-0.000053,9.959093e-01,1.000000e+00,False
12,0.000294,9.773482e-01,1.000000e+00,False
16,0.003904,7.092580e-01,1.000000e+00,False
20,0.006250,5.524919e-01,1.000000e+00,False
